Sprint 4 (da 30/08/2021 a 06/09/2021),,,,,,,,,,,
Product Backlog Item,Sprint Task,URL,Volunteer,Initial estimate of effort,1,2,3,4,5,6,7
As a framework user I want to define and use Systems,Add systems to the world,,"Giacomo Cavalieri
Nicolas Farabegoli
Nicolò di Domenico
Linda Vitali",20,7,7,5,1,1,0,0
,Define a way to create systems,,"Giacomo Cavalieri
Nicolas Farabegoli",3,0,0,0,0,0,0,0
As a framework user I want to update the World's state,,,Giacomo Cavalieri Nicolas Farabegoli,5,5,5,0,0,0,0,0
As a framework user I would higly appreciate a handy DSL to perform these operations,Design DSL,,Linda Vitali,15,15,15,15,15,10,3,3
